,,,,,
,title,category,date,venue,url
,,,2018.12.01,사운드마인드,
,7월의 마지막 밤,합동,2019.07.31,사운드마인드,
,나상현씨밴드 ep [1½] 발매 공연,게스트,2020.01.18,공상온도,
,"윤종현, 문없는집, 하다HADA",합동,2020.08.13,카페언플러그드,
,THE LIGHTS,합동,2020.08.16,에반스라운지,
,"문없는집, 수피",합동,2020.09.20,카페언플러그드,
,WEDNESDAY LIVE,,2020.09.30,에반스라운지,
,"밝은 미래, 그리고",단독,2021.02.07,카페언플러그드,
,오디오 라이브스트림 콘서트,,2021.02.27,랏밴뮤,
,나상현씨밴드-[2021< 2022],게스트,2021.12.04,백암아트홀,
,"언플러그드 기획공연 문없는집, 소년달",합동,2022.02.20,홍대언플러그드,
,브로콜리너마저-전국! 인디자랑,합동,2022.08.06,서울,
,김두루미,합동,2022.09.17 17:00,스튜디오 까에,https://ticket.melon.com/performance/index.htm?prodId=207187
,늦여름의 기차여행： September Train 2DM,합동,2022.09.04 19:00,스페이스브릭,https://tickets.interpark.com/goods/22010439
,콜리플라워 특집,합동,2022.10.14,클럽FF,
,M.O.W.B X 문없는집,합동,2022.11.20,홍대 언플러그드,
,Landing Error,합동,2022.12.30,프리즘홀,
,SUGAR MAGNOLIA,합동,2023.01.15,스페이스 한강,
,HELLO THERE?,,2023.02.09,라이블리(비대면공연플랫폼),
,COME WITHUS,합동,2023.03.31,카페 언플러그드,
,in mate stage,합동,2023.04.23,카페 언플러그드,
,문없는집 단독공연 〈조각들〉,단독,2023.05.21 16:00,클럽 온에어,https://ticket.melon.com/performance/index.htm?prodId=2081477
,영차영차season01. step01.,합동,2023.06.24,공상온도,
,SAY IT AIN'T SO,합동,2023.06.09,클럽FF,
,파도를 닮은 노래,합동,2023.07.08,거제 언드,
,김민식 미국진출기념 문없는집 콘서트 내 친구여,단독,2023.07.15,홍대언플러그드,
,먼데이프로젝트 시즌6 OUR SUMMER［문없는집 단독 콘서트］,단독,2023.08.09 20:00,벨로주 홍대,https://ticket.melon.com/performance/index.htm?prodId=208486
,문없는집 단독공연 〈타임캡슐〉,단독,2024.05.26 17:00,벨로주 홍대,https://ticket.melon.com/performance/index.htm?prodId=209808
,문없는집 단독공연 〈타임캡슐〉,단독,2024.05.27 20:00,벨로주 홍대,
,문없는집 단독공연 〈타임캡슐 vol. 2〉,단독,2025.6.21 19:00,벨로주 홍대,https://ticket.melon.com/performance/index.htm?prodId=211430
,78LIVE - 문없는집,단독,2025.8.28 19:30,엠피엠지 2층 LOUNGE M.,https://tickets.interpark.com/goods/25011269
,먼데이프로젝트 시즌 8 [문없는집 단독 콘서트 ‘시간여행자를 위한 가이드북’],단독,2025.10.09 18:00,KT&G 상상마당 홍대 라이브홀,https://ticket.melon.com/performance/index.htm?prodId=211947
,"[Attention #3] : 둥실둥실 – 문없는집, ddbb, 선 앤 메어",합동,2025.11.08 19:00,살롱 문보우,https://ticket.melon.com/performance/index.htm?prodId=212132
,AFT 012 : After Thoughts & Doorlesshouse,합동,2025.11.16 17:00,공상온도,https://shopondo.cafe24.com/product/공연예매-012-after-thoughts-doorlesshouse-sun-16-nov-2025/2305/category/55/display/1/
,블루로 가는 문 [문없는집 X 병아리블루],합동,2026.01.09 20:00,톤 스튜디오,https://ticket.melon.com/performance/index.htm?prodId=212478
,RECAP 2025: 문없는집,단독,2026.01.10 18:00,KT&G 상상마당 홍대 라이브홀,https://ticket.melon.com/performance/index.htm?prodId=212512
,석촌호수 아뜰리에 시그니처 기획공연 <밴드시그널>,단독,2026.03.15 19:00,석촌호수 아뜰리에,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S260211092438955213
,MRN Groove 문없는집 LIVE,단독,2026.04.26 20:00,모래내 극락,https://booking.naver.com/booking/6/bizes/883104/items/7445030?area=ple&lang=ko&startDate=2026-04-26&startDateTime=2026-04-26T19%3A00%3A00%2B09%3A00&tab=book&theme=place
,홍대 인디 자선 행사 <볕 든 자리>,페스티벌,2026.05.02 19:50,우무지,https://www.instagram.com/sunnyspot.for.us/
,MIRAE COMPLEX Pt. 2 Pre-Listening Session,단독,2026.05.03 15:00,고요의 방,https://www.unplugged-hongdae.com/concert-booking/2026-05-03-고요의-방-낮공연